Soort,Voorraad,Prijs,Niet inpakken
Lycium barbarum,, €  3.00 ,
Macadamia integrifolia,100, €  4.00 ,
Magnolia acuminata,60, €  3.00 ,
Magnolia champaca,125, €  3.00 ,
Magnolia figo,80, €  3.50 ,
Magnolia grandiflora,300, €  3.00 ,
Magnolia liliiflora,100, €  3.00 ,
Magnolia stellata,, €  3.00 ,
Majidea zanguebarica,, €  4.50 ,
Mandragora officinarum,26, €  6.00 ,
Massonia depressa,300, €  3.00 ,
Melaleuca alternifolia,20p, €  4.00 ,
Melianthus major,, €  4.00 ,
Metrosideros excelsa,500, €  3.00 ,
Mimosa pudica,1600, €  3.00 ,
Momordica charantia,, €  3.00 ,
Monodora myristica,500, €  8.00 ,
Morinda citrifolia,1000, €  3.00 ,
Moringa oleifera,, €  3.00 ,
Mucuna holtonii,, €  4.00 ,
Mucuna macrocarpa,100, €  4.00 ,
Mucuna nigricans,, €  4.00 ,
Mucuna pruriens,150, €  3.00 ,
Mucuna sempervirens,100, €  4.00 ,
Mucuna sloanei,15, €  3.50 ,
Mucuna urens,, €  5.00 ,
Murraya koenigii,, €  5.00 ,x
Musa acuminata,220, €  3.00 ,
Musa balbisiana,, €  3.00 ,
Musa bauensis,, €  5.00 ,
Musa cheesmanii,119, €  3.00 ,
Musa coccinea,, €  3.50 ,
Musa griersonii,60, €  5.00 ,
Musa itinerans var. Formosana,150, €  4.00 ,
Musa laterita,, €  4.00 ,
Musa ornata,200, €  3.00 ,
Musa sikkimensis Red Flash,200, €  3.50 ,
Musa sp. Helens Hybrid,120, €  3.50 ,
Musa textilis,, €  4.50 ,
Musa thomsonii,100, €  4.00 ,
Musa velutina,1500, €  3.00 ,
Musa x paradisiaca,5, €  3.00 ,
Musella lasiocarpa,150, €  3.50 ,
Nelumbo nucifera ,1000, €  3.50 ,
Nelumbo nucifera alba,80, €  3.50 ,
Oenocarpus bataua,, €  4.00 ,x
Olea europaea,270, €  3.00 ,
Oncoba spinosa,100, €  4.00 ,
Ormosia krugii,40, €  3.50 ,
Oryza sativa,, €  3.00 ,
Parajubaea torallyi var. Microcarpa,, €  4.00 ,
Passiflora actinia,, €  3.00 ,
Passiflora alata,285, €  3.00 ,
Passiflora ambigua,200, €  3.50 ,
Passiflora aurantia,40, €  3.00 ,
Passiflora capsularis,15, €  3.50 ,
Passiflora incarnata,800, €  3.00 ,
Passiflora macrophylla,, €  6.00 ,
Passiflora matthewsii,, €  4.00 ,
Passiflora mollissima,200, €  3.00 ,
Passiflora morifolia,, €  4.00 ,
Passiflora quadrangularis,200, €  3.50 ,
Phenakospermum guyannense,50, €  4.00 ,
Phoenix dactylifera,1100, €  3.00 ,
Phyllostachys edulis,40, €  3.00 ,
Physalis peruviana,30p, €  3.00 ,
Pistacia vera,, €  3.00 ,
Plukenetia volubilis,100, €  4.00 ,
Pollia condensata,120, €  8.00 ,
Prosopis pubescens,470, €  3.50 ,
Prunus dulcis var. Dulcis,, €  4.00 ,
Punica granatum,2000, €  3.00 ,
Punica granatum nana,500, €  3.00 ,
Quaqua mammillaris,, €  4.00 ,
Ravenala madagascariensis,20, €  3.00 ,
Ravenala sp. Honkondambo,, €  4.00 ,
Rhizophora mangle,, €  6.00 ,x
Rhodoleia championii,300, €  3.00 ,
Ricinus communis,500, €  3.00 ,
Rollinia deliciosa,, €  3.50 ,
Sapindus saponaria,30, €  3.00 ,
Schisandra chinensis,1000, €  3.50 ,
Sclerocarya birrea ssp. Caffra,, €  4.00 ,
Sequoia sempervirens,1000, €  3.00 ,
Sequoiadendron giganteum,1500, €  3.00 ,
Sesamum indicum,400, €  3.00 ,
Sesbania tripetii,120, €  3.00 ,
Solanum mammosum,200, €  3.00 ,
Solanum pimpinellifolium,920, €  3.00 ,
Solanum quitoense,1250, €  3.00 ,
Stapelia gigantea,120, €  4.00 ,
Stapelia grandiflora,400, €  4.00 ,
Stapelia hirsuta,150, €  3.50 ,
Stapelia kwebensis,, €  3.50 ,
Stapelia leendertziae,15, €  3.50 ,
Strelitzia alba,, €  4.00 ,
Strelitzia caudata,, €  5.00 ,
Strelitzia juncea,135, €  4.00 ,
Strelitzia nicolai,1000, €  3.00 ,
Strelitzia reginae,1000, €  3.00 ,
