speciesID,nameDutch,nameLatin,nameEnglish,package,expirationTime,pricePerBag,seedsPerBag
,,Mucuna pruriens,,,, €  3.00 ,
,,Mucuna sempervirens,,,, €  4.00 ,
,,Mucuna sloanei,,,, €  3.50 ,
,,Mucuna urens,,,, €  5.00 ,
,,Murraya koenigii,,,, €  5.00 ,
,,Musa acuminata,,,, €  3.00 ,
,,Musa balbisiana,,,, €  3.00 ,
,,Musa bauensis,,,, €  5.00 ,
,,Musa cheesmanii,,,, €  3.00 ,
,,Musa coccinea,,,, €  3.50 ,
,,Musa griersonii,,,, €  5.00 ,
,,Musa itinerans var. Formosana,,,, €  4.00 ,
,,Musa laterita,,,, €  4.00 ,
,,Musa ornata,,,, €  3.00 ,
,,Musa sikkimensis Red Flash,,,, €  3.50 ,
,,Musa sp. Helens Hybrid,,,, €  3.50 ,
,,Musa textilis,,,, €  4.50 ,
,,Musa thomsonii,,,, €  4.00 ,
,,Musa velutina,,,, €  3.00 ,
,,Musa x paradisiaca,,,, €  3.00 ,
,,Musella lasiocarpa,,,, €  3.50 ,
,,Nelumbo nucifera ,,,, €  3.50 ,
,,Nelumbo nucifera alba,,,, €  3.50 ,
,,Oenocarpus bataua,,,, €  4.00 ,
,,Olea europaea,,,, €  3.00 ,
,,Oncoba spinosa,,,, €  4.00 ,
,,Ormosia krugii,,,, €  3.50 ,
,,Oryza sativa,,,, €  3.00 ,
,,Parajubaea torallyi var. Microcarpa,,,, €  4.00 ,
,,Passiflora actinia,,,, €  3.00 ,
,,Passiflora alata,,,, €  3.00 ,
,,Passiflora ambigua,,,, €  3.50 ,
,,Passiflora aurantia,,,, €  3.00 ,
,,Passiflora capsularis,,,, €  3.50 ,
,,Passiflora incarnata,,,, €  3.00 ,
,,Passiflora macrophylla,,,, €  6.00 ,
,,Passiflora matthewsii,,,, €  4.00 ,
,,Passiflora mollissima,,,, €  3.00 ,
,,Passiflora morifolia,,,, €  4.00 ,
,,Passiflora quadrangularis,,,, €  3.50 ,
,,Phenakospermum guyannense,,,, €  4.00 ,
,,Phoenix dactylifera,,,, €  3.00 ,
,,Phyllostachys edulis,,,, €  3.00 ,
,,Physalis peruviana,,,, €  3.00 ,
,,Pistacia vera,,,, €  3.00 ,
,,Plukenetia volubilis,,,, €  4.00 ,
,,Pollia condensata,,,, €  8.00 ,
,,Prosopis pubescens,,,, €  3.50 ,
,,Prunus dulcis var. Dulcis,,,, €  4.00 ,
,,Punica granatum,,,, €  3.00 ,
,,Punica granatum nana,,,, €  3.00 ,
,,Quaqua mammillaris,,,, €  4.00 ,
,,Ravenala madagascariensis,,,, €  3.00 ,
,,Ravenala sp. Honkondambo,,,, €  4.00 ,
,,Rhizophora mangle,,,, €  6.00 ,
,,Rhodoleia championii,,,, €  3.00 ,
,,Ricinus communis,,,, €  3.00 ,
,,Rollinia deliciosa,,,, €  3.50 ,
,,Sapindus saponaria,,,, €  3.00 ,
,,Schisandra chinensis,,,, €  3.50 ,
,,Sclerocarya birrea ssp. Caffra,,,, €  4.00 ,
,,Sequoia sempervirens,,,, €  3.00 ,
,,Sequoiadendron giganteum,,,, €  3.00 ,
,,Sesamum indicum,,,, €  3.00 ,
,,Sesbania tripetii,,,, €  3.00 ,
,,Solanum mammosum,,,, €  3.00 ,
,,Solanum pimpinellifolium,,,, €  3.00 ,
,,Solanum quitoense,,,, €  3.00 ,
,,Stapelia gigantea,,,, €  4.00 ,
,,Stapelia grandiflora,,,, €  4.00 ,
,,Stapelia hirsuta,,,, €  3.50 ,
,,Stapelia kwebensis,,,, €  3.50 ,
,,Stapelia leendertziae,,,, €  3.50 ,
,,Strelitzia alba,,,, €  4.00 ,
,,Strelitzia caudata,,,, €  5.00 ,
,,Strelitzia juncea,,,, €  4.00 ,
,,Strelitzia nicolai,,,, €  3.00 ,
,,Strelitzia reginae,,,, €  3.00 ,
,,Strelitzia reginae Mandelas Gold,,,, €  4.00 ,
,,Strongylodon siderospermum,,,, €  5.00 ,
,,Synsepalum dulcificum,,,, €  6.00 ,
,,Tacca chantrieri,,,, €  3.50 ,
,,Tacca integrifolia,,,, €  3.50 ,
,,Tamarindus indica,,,, €  3.00 ,
,,Theobroma cacao,,,, €  6.00 ,
,,Thevetia peruviana,,,, €  4.00 ,
,,Toona sinensis,,,, €  3.00 ,
,,Typhonium venosum,,,, €  3.00 ,
,,Vanilla planifolia,,,, €  7.00 ,
,,Veitchia merrillii,,,, €  4.00 ,
,,Veltheimia bracteata,,,, €  3.50 ,
,,Victoria amazonica,,,, €  10.00 ,
,,Welwitschia mirabilis,,,, €  8.00 ,
,,Wercklea ferox,,,, €  3.00 ,
,,Withania somnifera,,,, €  3.00 ,
,,Wodyetia bifurcata,,,, €  6.00 ,
,,Zanthoxylum piperitum,,,, €  3.00 ,
,,,,,,,
,,,,,,,
,,,,,,,
